DT; LS
1.9.2022 04:30; 12.9
1.9.2022 05:30; 11.7
1.9.2022 06:30; 12.7
2.9.2022 07:30; 11.2
2.9.2022 08:30; 9.3
2.9.2022 09:30; 9.4
2.9.2022 10:30; 8.1
3.9.2022 11:30; 8
3.9.2022 12:30; 9.9
3.9.2022 13:30; 10.9
4.9.2022 14:30; 11.7
4.9.2022 15:30; 11.8
4.9.2022 16:30; 11.5
4.9.2022 17:30; 12.1
12.9.2022 18:30; 5.1
12.9.2022 19:30; 4.3
13.9.2022 20:30; 6.4
13.9.2022 21:30; 6.6
13.9.2022 22:30; 9.2
14.9.2022 23:30; 8.2
14.9.2022 00:30; 12.4
14.9.2022 01:30; 13.7
14.9.2022 02:30; 13.5
15.9.2022 03:30; 15.9
15.9.2022 04:30; 14.4
15.9.2022 05:30; 13.3
15.9.2022 06:30; 16.6
16.9.2022 07:30; 15.8
21.9.2022 08:30; 2.9
21.9.2022 09:30; 5.9
22.9.2022 10:30; 7.2
22.9.2022 11:30; 8.6
22.9.2022 12:30; 5.6
22.9.2022 13:30; 11.9
23.9.2022 14:30; 11.9
23.9.2022 15:30; 11.4
23.9.2022 16:30; 9.9
23.9.2022 17:30; 11.1
24.9.2022 18:30; 14.5
24.9.2022 19:30; 11.2
24.9.2022 20:30; 10.3
25.9.2022 21:30; 9.7
25.9.2022 22:30; 10.2
25.9.2022 23:30; 9.3
25.9.2022 00:30; 9.5
26.9.2022 01:30; 8.3
26.9.2022 02:30; 14.8
26.9.2022 03:30; 15.5
26.9.2022 04:30; 14.2
29.9.2022 05:30; 9.8
29.9.2022 06:30; 11
30.9.2022 07:30; 7.8
3.10.2022 08:30; 11.1
4.10.2022 09:30; 8.9
4.10.2022 10:30; 8.8
4.10.2022 11:30; 8.8
4.10.2022 12:30; 7.9
5.10.2022 13:30; 6.7
5.10.2022 14:30; 9.8
5.10.2022 15:30; 11.7
5.10.2022 16:30; 14.4
6.10.2022 17:30; 12.8
6.10.2022 18:30; 8.4
6.10.2022 19:30; 8.7
7.10.2022 20:30; 10.7
7.10.2022 21:30; 8.2
7.10.2022 22:30; 7.8
7.10.2022 23:30; 8.6
8.10.2022 00:30; 9.1
8.10.2022 01:30; 10.3
8.10.2022 02:30; 10.6
9.10.2022 03:30; 10.9
9.10.2022 04:30; 10.6
9.10.2022 05:30; 11
9.10.2022 06:30; 10.8
10.10.2022 07:30; 11.1
10.10.2022 08:30; 11.4
10.10.2022 09:30; 11.2
11.10.2022 10:30; 13.1
15.10.2022 11:30; 13.2
